# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "CDS,sRNA" "-g" "locus_tag" "-a" "../data/reference_sequences/SA101588_prokka.gff" "-o" "../data/rna_align/counttable_prokka.txt" "../data/rna_align/LND_0_rep1.fq.gz.bam" "../data/rna_align/LND_0_rep2.fq.gz.bam" "../data/rna_align/LND_0_rep3.fq.gz.bam" "../data/rna_align/LND_16_rep1.fq.gz.bam" "../data/rna_align/LND_16_rep2.fq.gz.bam" "../data/rna_align/LND_16_rep3.fq.gz.bam" "../data/rna_align/LND_8_rep1.fq.gz.bam" "../data/rna_align/LND_8_rep2.fq.gz.bam" "../data/rna_align/LND_8_rep3.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/LND_0_rep1.fq.gz.bam	../data/rna_align/LND_0_rep2.fq.gz.bam	../data/rna_align/LND_0_rep3.fq.gz.bam	../data/rna_align/LND_16_rep1.fq.gz.bam	../data/rna_align/LND_16_rep2.fq.gz.bam	../data/rna_align/LND_16_rep3.fq.gz.bam	../data/rna_align/LND_8_rep1.fq.gz.bam	../data/rna_align/LND_8_rep2.fq.gz.bam	../data/rna_align/LND_8_rep3.fq.gz.bam
SA101588_00606	101588_1	599379	599567	-	189	54688	82012	69525	45800	52066	8994	57463	41396	40332
SA101588_00607	101588_1	600010	600384	+	375	1645	1871	1874	2070	2040	895	2376	2048	1807
SA101588_00608	101588_1	600399	602045	+	1647	6721	8222	7573	6693	6434	3627	8135	6872	6099
SA101588_00609	101588_1	602235	604295	+	2061	1161	1208	1153	560	536	427	669	546	487
SA101588_00610	101588_1	604513	605070	+	558	2405	2853	2473	1886	1856	1573	2328	2063	1782
SA101588_00611	101588_1	605075	606061	+	987	3220	4213	3610	3330	3473	3302	3922	3536	3120
SA101588_00612	101588_1	606054	606980	+	927	3147	3878	3230	3099	3239	2599	3752	3388	2919
SA101588_00613	101588_1	606973	607707	+	735	3403	4185	3580	3612	3773	2146	4407	3868	3406
SA101588_00614	101588_1	608013	608246	+	234	19748	29821	25627	18222	18017	3971	21046	16553	16053
SA101588_00615	101588_1	608362	609093	+	732	626	676	651	461	423	300	453	442	397
SA101588_00616	101588_1	609240	612806	+	3567	2917	3550	3244	2391	2221	1936	2599	2112	1831
SA101588_00617	101588_1	612806	614056	+	1251	1598	1782	1666	1311	1243	984	1292	1174	1021
SA101588_00618	101588_1	614043	614375	+	333	539	712	646	703	528	393	690	587	527
SA101588_00619	101588_1	614401	615768	+	1368	4318	5121	4720	5497	4795	2423	5987	4843	4285
SA101588_00620	101588_1	616203	616478	+	276	2900	4096	3256	5539	5726	1127	6507	5935	5279
SA101588_00621	101588_1	616666	617169	+	504	420	428	340	824	910	374	914	1004	776
SA101588_00622	101588_1	617169	617906	+	738	623	818	651	1404	1537	740	1645	1553	1312
SA101588_00623	101588_1	617947	617989	+	43	355	819	774	1974	1696	653	2196	1212	1802
SA101588_00624	101588_1	618009	618359	+	351	6280	8734	6679	15161	16340	5555	18781	16505	13523
SA101588_00625	101588_1	618601	621207	-	2607	1203	1114	1111	661	572	599	825	644	640
SA101588_00626	101588_1	621608	622492	+	885	543	645	636	924	782	686	918	728	726
SA101588_00627	101588_1	622476	623243	+	768	405	495	519	979	934	1013	988	889	776
SA101588_00628	101588_1	623352	624518	+	1167	45634	54707	50821	24833	21367	17910	27973	21413	20080
SA101588_00629	101588_1	624540	625448	+	909	28534	33020	28664	18964	17420	15301	21336	17455	15297
SA101588_00630	101588_1	625675	625887	+	213	4	20	11	18	23	25	33	15	21
SA101588_00631	101588_1	625915	626400	+	486	35	24	22	37	39	29	62	51	42
SA101588_00632	101588_1	626379	626924	+	546	32	49	33	63	51	25	56	54	43
SA101588_00633	101588_1	626928	627158	+	231	10	19	15	20	23	9	28	18	10
SA101588_00634	101588_1	627329	628201	+	873	177	185	212	371	282	522	396	291	262
SA101588_00635	101588_1	628375	630450	+	2076	5218	5961	5625	7466	6795	7841	8212	6746	6773
SA101588_00636	101588_1	630606	631913	+	1308	2958	3939	3681	4985	4561	5245	5709	4408	4778
SA101588_00637	101588_1	632330	633226	+	897	2421	2680	2445	1142	1103	856	1656	1156	1092
SA101588_00638	101588_1	633223	633768	+	546	1264	1568	1438	1089	984	810	1372	1020	978
SA101588_00639	101588_1	633834	635237	+	1404	4322	4922	4527	3877	3414	3026	4339	3506	3226
SA101588_00640	101588_1	635262	636035	+	774	3341	4236	3857	3150	2787	2145	3691	2909	2802
SA101588_00641	101588_1	636377	637144	+	768	13120	20000	16009	52051	53099	23603	55049	47725	41135
SA101588_00642	101588_1	637326	638207	+	882	16884	20771	18861	30109	29916	14066	32449	28047	24338
SA101588_00643	101588_1	638344	639066	+	723	4830	4432	4129	2608	2540	2289	2869	2728	2336
SA101588_00644	101588_1	639085	639639	+	555	3989	4176	3889	3936	3673	2871	4398	4058	3416
SA101588_00645	101588_1	640012	640782	+	771	1892	2236	1924	2383	2475	1580	2720	2463	2008
SA101588_00646	101588_1	640789	641571	+	783	1328	1588	1374	1587	1552	873	1845	1606	1389
SA101588_00647	101588_1	641783	643069	+	1287	3298	3665	3182	2427	2209	1588	2834	2374	2093
SA101588_00648	101588_1	643089	644792	+	1704	4753	5566	5046	5460	4848	3630	6051	5115	4717
SA101588_00649	101588_1	645049	649365	+	4317	4074	4630	4457	3716	3573	3748	4240	3679	3353
SA101588_00650	101588_1	649655	650122	+	468	1733	2331	2162	1762	1629	1013	1900	1665	1597
SA101588_00651	101588_1	650143	651318	+	1176	3839	4689	4112	4364	4454	2928	4692	4386	3671
SA101588_00652	101588_1	651339	651623	+	285	790	969	950	1372	1127	696	1363	1265	1003
SA101588_00653	101588_1	651620	651937	+	318	727	808	688	893	984	588	1008	1073	884
SA101588_00654	101588_1	651942	654059	+	2118	7842	9391	8068	12526	12760	6431	14347	13494	10935
SA101588_00655	101588_1	654445	654795	+	351	1497	1734	1611	2320	2081	579	2512	2086	2110
SA101588_00656	101588_1	654965	655882	+	918	955	940	801	948	859	676	985	886	800
SA101588_00657	101588_1	655897	656868	+	972	1704	1695	1482	1698	1591	1704	1819	1534	1414
SA101588_00658	101588_1	656983	657252	+	270	5742	8847	6441	16074	17748	19877	19427	17978	14814
SA101588_00659	101588_1	657595	657776	-	182	23	27	37	170	156	109	185	115	126
SA101588_00660	101588_1	657622	659718	+	2097	11585	14170	13956	18769	17806	19188	20307	17144	15675
SA101588_00661	101588_1	659954	661627	+	1674	6755	7399	7074	6348	5614	2660	6900	5721	5291
SA101588_00662	101588_1	661883	664252	+	2370	3355	3933	3647	3684	3463	2474	4461	3643	3518
SA101588_00663	101588_1	664257	664970	+	714	717	900	805	275	288	110	312	267	262
SA101588_00664	101588_1	665001	666266	+	1266	1534	1606	1515	243	196	117	219	160	180
SA101588_00665	101588_1	666266	667552	+	1287	1461	1597	1455	474	343	234	431	384	313
SA101588_00666	101588_1	667552	668256	+	705	832	913	831	383	344	186	360	346	232
SA101588_00667	101588_1	668361	669188	+	828	2223	2366	2281	1487	1314	821	1503	1318	1223
SA101588_00668	101588_1	669207	669599	+	393	992	1156	1116	931	727	405	869	689	670
SA101588_00669	101588_1	669633	670211	+	579	1373	1548	1360	1230	992	456	1324	1108	977
SA101588_00670	101588_1	670436	671587	+	1152	992	1118	849	590	550	329	651	538	584
SA101588_00671	101588_1	671752	672795	+	1044	5965	7139	6706	3943	3345	2342	4442	3448	3322
SA101588_00672	101588_1	673149	674708	+	1560	19582	26998	25124	27571	24943	20117	30528	23437	22179
SA101588_00673	101588_1	674721	674811	+	91	1	3	0	3	6	1	9	2	2
SA101588_00674	101588_1	675005	675220	-	216	4618	5933	5278	565	457	115	666	438	534
SA101588_00675	101588_1	675394	676191	+	798	1603	1827	1862	2212	1842	1363	2228	1852	1866
SA101588_00676	101588_1	676331	678091	+	1761	1893	2049	1988	2016	1792	2199	2123	1847	1742
SA101588_00677	101588_1	678092	678958	+	867	1066	1077	1068	1039	1053	763	1298	1010	1001
SA101588_00678	101588_2	378	683	-	306	183	231	224	86	77	85	143	104	103
SA101588_00679	101588_2	726	1169	+	444	108	117	75	129	86	45	140	106	63
SA101588_00680	101588_2	1378	1755	+	378	49	70	60	93	71	38	118	47	64
SA101588_00681	101588_2	1881	4304	-	2424	241	272	242	374	275	225	365	235	261
SA101588_00682	101588_2	4839	5282	+	444	117	173	139	70	74	30	90	63	55
SA101588_00683	101588_2	5282	5725	+	444	82	115	95	43	61	12	56	83	48
SA101588_00684	101588_2	5725	5895	+	171	10	13	23	9	18	3	13	6	7
SA101588_00685	101588_2	5968	6249	+	282	204	254	221	110	79	31	86	76	85
SA101588_00686	101588_2	6291	6596	+	306	131	125	83	62	58	14	75	56	50
SA101588_00687	101588_2	6698	7081	+	384	194	237	233	211	152	71	242	168	177
SA101588_00688	101588_2	7092	7268	+	177	32	34	29	38	26	15	24	23	27
SA101588_00689	101588_2	7639	8196	+	558	163	156	143	73	64	40	96	66	59
SA101588_00690	101588_2	8394	8966	-	573	207	250	196	185	159	119	213	216	145
SA101588_00691	101588_2	9064	9408	-	345	152	191	140	108	141	49	120	112	103
SA101588_00692	101588_2	9449	10075	-	627	241	411	233	106	99	85	126	143	88
SA101588_00693	101588_2	10151	11146	-	996	6043	10508	6404	4476	5835	4564	5469	6043	3916
SA101588_00694	101588_2	11227	11853	-	627	5778	11193	7310	5012	6561	5397	6124	6760	4516
SA101588_00695	101588_2	12165	12647	+	483	22	34	28	124	119	43	137	93	93
SA101588_00696	101588_2	12806	14284	+	1479	1171	1379	1293	584	615	720	741	646	564
SA101588_00697	101588_2	14289	15290	+	1002	541	650	619	400	374	465	511	395	385
SA101588_00698	101588_2	15287	15544	-	258	417	558	462	354	279	444	399	275	248
SA101588_00699	101588_2	15604	16083	+	480	265	308	301	126	87	100	126	103	92
SA101588_00700	101588_2	16064	16834	+	771	456	570	522	169	146	239	185	154	160
SA101588_00701	101588_2	17131	18723	-	1593	38549	41959	38514	36297	34898	37935	41691	35570	32173
SA101588_00702	101588_2	18878	18989	+	112	104	121	103	79	75	43	81	82	76
SA101588_00703	101588_2	19095	20288	+	1194	2275	2862	2714	2604	2393	1231	3117	2616	2448
SA101588_00704	101588_2	20413	21321	+	909	4935	5587	5709	2975	2581	1296	3472	2712	2861
SA101588_00705	101588_2	21533	22366	+	834	2856	3260	3094	1153	997	411	1363	951	948
SA101588_00706	101588_2	22616	22969	-	354	78	82	80	43	28	20	27	24	32
SA101588_00707	101588_2	22966	23331	-	366	148	149	134	69	50	43	86	100	56
SA101588_00708	101588_2	23586	23888	-	303	1028	1174	1064	660	506	183	692	541	592
SA101588_00709	101588_2	24147	24860	+	714	9303	11046	10403	3189	2464	1042	3796	2557	2833
SA101588_00710	101588_2	24969	25232	+	264	11	10	13	33	36	23	30	21	35
SA101588_00711	101588_2	25423	26043	-	621	810	716	743	844	663	713	901	767	647
SA101588_00712	101588_2	26210	26845	-	636	211	178	180	136	133	135	193	138	171
SA101588_00713	101588_2	27143	27586	+	444	529	581	472	398	365	141	402	341	358
SA101588_00714	101588_2	27573	28016	-	444	157	161	158	115	133	60	166	135	121
SA101588_00715	101588_2	28129	28599	-	471	186	211	174	161	162	137	239	181	166
SA101588_00716	101588_2	28798	29022	+	225	841	937	873	502	357	221	620	462	431
SA101588_00717	101588_2	29298	30152	+	855	4977	6469	6151	13550	13070	8505	14307	12324	11623
SA101588_00718	101588_2	30239	31531	-	1293	246	239	262	527	615	602	642	606	513
SA101588_00719	101588_2	31531	31845	-	315	149	257	247	554	486	383	582	541	537
SA101588_00720	101588_2	32488	33990	+	1503	1293	1200	1145	640	589	292	778	543	582
SA101588_00721	101588_2	34209	34344	+	136	1182	1202	1204	379	341	242	491	343	312
SA101588_00722	101588_2	34471	35514	+	1044	3663	3352	5152	1209	1104	1439	1606	1147	1365
SA101588_00723	101588_2	35521	36153	+	633	1342	1257	2060	525	424	547	530	405	519
SA101588_00724	101588_2	36164	37345	+	1182	2768	2443	3835	1004	871	1069	1169	922	1037
SA101588_00725	101588_2	37358	37816	+	459	964	845	1302	325	307	194	373	294	317
SA101588_00726	101588_2	37944	38945	-	1002	10903	10740	10015	7351	5522	7149	7268	5749	5421
SA101588_00727	101588_2	39179	40006	+	828	1582	2159	1921	864	858	446	1148	792	854
SA101588_00728	101588_2	40579	40980	+	402	3062	4440	4297	3658	3126	1800	3909	2967	2778
SA101588_00729	101588_2	41099	41662	-	564	417	536	497	520	502	438	579	473	436
SA101588_00730	101588_2	41659	42612	-	954	957	1055	981	1117	1081	1157	1281	1055	1014
SA101588_00731	101588_2	42722	43903	+	1182	809	906	691	959	998	572	1105	988	812
SA101588_00732	101588_2	44191	46608	+	2418	5084	5504	5164	2029	1870	1305	2330	1923	1779
SA101588_00733	101588_2	46630	46941	+	312	491	616	575	354	362	142	443	390	320
SA101588_00734	101588_2	47265	53813	+	6549	267	302	293	475	504	732	559	402	424
SA101588_00735	101588_2	53930	55198	-	1269	525	598	593	561	481	628	619	509	414
SA101588_00736	101588_2	55602	57263	+	1662	3208	3344	2865	2575	2421	1840	3313	2669	2399
SA101588_00737	101588_2	57260	57955	+	696	2208	2454	2344	3092	2503	1789	3241	2511	2623
SA101588_00738	101588_2	57972	58394	+	423	5556	6323	6249	11424	8971	5223	10925	8120	8472
SA101588_00739	101588_2	58600	60009	+	1410	7744	7956	7786	4262	3916	2244	4840	3712	3674
SA101588_00740	101588_2	60013	60861	+	849	4561	4266	4218	2673	2456	1236	2918	2606	2194
SA101588_00741	101588_2	61412	62203	+	792	4512	5783	5466	6444	5802	3366	6972	5838	5510
SA101588_00742	101588_2	62218	62862	+	645	2330	2974	2820	4279	3786	1703	4548	3775	3546
SA101588_00743	101588_2	63061	63118	-	58	4	5	7	3	5	1	9	9	8
SA101588_00744	101588_2	63386	64228	+	843	459	552	451	326	278	97	339	310	253
SA101588_00745	101588_2	64353	64667	-	315	1067	1067	844	456	401	278	656	490	444
SA101588_00746	101588_2	64751	65827	+	1077	1598	1859	1700	859	759	370	1063	715	726
SA101588_00747	101588_2	65892	66203	+	312	1190	1395	1479	1078	812	304	1178	774	1000
SA101588_00748	101588_2	66303	67160	+	858	1264	1246	1191	1519	1246	845	1492	1343	1177
SA101588_00749	101588_2	67189	67785	+	597	884	895	791	1127	1012	1003	1157	972	875
SA101588_00750	101588_2	67806	71630	+	3825	6929	8247	7231	11349	10403	12569	11938	10131	9093
SA101588_00751	101588_2	71654	72967	+	1314	3943	4289	3770	4796	4200	2181	5314	4417	3766
SA101588_00752	101588_2	73041	73532	+	492	18514	19603	18812	14867	11548	4822	16090	11516	12461
SA101588_00753	101588_2	73606	74958	+	1353	10029	11918	12338	14214	11816	10811	14192	10858	11420
SA101588_00754	101588_2	75652	76743	+	1092	2590	2591	2482	2522	2062	1680	2462	2142	2000
SA101588_00755	101588_2	77283	78272	+	990	6777	7168	7172	6653	5550	4949	6936	5773	5647
SA101588_00756	101588_2	78370	79539	-	1170	1543	1648	1630	1157	869	1005	1233	968	921
SA101588_00757	101588_2	79564	80196	-	633	931	933	949	466	369	400	561	435	460
SA101588_00758	101588_2	80365	82071	+	1707	7159	7548	6912	4373	3744	3077	4683	3928	3595
SA101588_00759	101588_2	82512	84179	+	1668	29955	34270	30244	7978	7056	7310	9515	7338	6668
SA101588_00760	101588_2	84398	84458	-	61	2	1	2	1	1	0	0	0	1
SA101588_00761	101588_2	84512	87199	+	2688	111	132	101	107	81	117	129	67	107
SA101588_00762	101588_2	87405	88310	-	906	327	395	362	184	166	133	205	153	189
SA101588_00763	101588_2	88691	89953	+	1263	1545	1871	1713	542	489	304	638	507	514
SA101588_00764	101588_2	90047	91321	-	1275	6225	6177	6002	866	712	307	1116	759	882
SA101588_00765	101588_2	91493	92110	+	618	1566	1595	1481	1223	1011	423	1150	1007	1010
SA101588_00766	101588_2	92238	93704	+	1467	1792	1914	1627	1117	1052	678	1278	1093	1008
SA101588_00767	101588_2	93811	94941	+	1131	626	606	610	701	680	461	732	682	719
SA101588_00768	101588_2	95091	96695	-	1605	709	752	786	533	417	488	598	448	444
SA101588_00769	101588_2	96682	97842	-	1161	530	543	577	212	203	262	259	227	229
SA101588_00770	101588_2	97956	98402	-	447	457	436	391	56	69	68	106	72	74
SA101588_00771	101588_2	98482	99225	+	744	535	526	562	156	119	98	186	121	129
SA101588_00772	101588_2	99443	100045	-	603	8239	10889	8305	32102	35930	25264	37473	35670	28309
SA101588_00773	101588_2	100289	100753	-	465	929	785	820	382	287	269	470	417	296
SA101588_00774	101588_2	100890	102584	+	1695	12824	13723	12595	12766	11154	4157	13349	11128	9659
SA101588_00775	101588_2	102894	104060	+	1167	395	523	450	838	934	695	965	917	788
SA101588_00776	101588_2	104060	105283	+	1224	436	491	464	908	944	870	1031	984	780
SA101588_00777	101588_2	105327	106097	+	771	268	284	278	638	648	559	688	669	517
SA101588_00778	101588_2	106195	106689	+	495	6422	5979	5556	2003	1637	952	2643	1891	1797
SA101588_00779	101588_2	106812	107759	+	948	1797	2112	2015	866	729	556	983	728	722
SA101588_00780	101588_2	107847	109049	+	1203	6328	6856	6417	3201	2709	1542	3962	2890	2549
SA101588_00781	101588_2	109296	109796	-	501	8520	8603	8187	4583	3936	2443	5296	3752	3329
SA101588_00782	101588_2	109937	111055	+	1119	15047	17678	15275	13327	12762	9986	15359	12941	10897
SA101588_00783	101588_2	111371	112426	-	1056	2464	2504	2552	1608	1329	943	1823	1308	1435
SA101588_00784	101588_2	112601	113290	+	690	4492	5024	5051	3151	2398	1331	3551	2470	2670
SA101588_00785	101588_2	113406	113581	+	176	30	31	43	20	17	17	34	18	15
SA101588_00786	101588_2	113796	114209	-	414	5941	7003	7348	4364	3299	1339	4770	3356	3610
SA101588_00787	101588_2	114414	115712	+	1299	1579	1824	1819	1353	1246	951	1676	1222	1180
SA101588_00788	101588_2	115747	116015	+	269	210	230	237	241	246	151	246	185	166
SA101588_00789	101588_2	116082	117023	+	942	1182	1199	1067	1001	906	745	1111	878	796
SA101588_00790	101588_2	117044	120241	+	3198	3582	3779	3599	4364	4051	2724	5040	4226	3600
SA101588_00791	101588_2	120690	121919	+	1230	3861	4361	3937	3564	3265	2870	3819	3463	3109
SA101588_00792	101588_2	122114	122971	+	858	2986	3369	2998	4079	3762	2940	4527	3907	3524
SA101588_00793	101588_2	122971	123915	+	945	2889	3277	2826	4229	3967	3023	4753	4224	3801
SA101588_00794	101588_2	124184	125152	+	969	4051	4182	4037	2184	1699	1429	2526	1860	1790
SA101588_00795	101588_2	125174	126931	+	1758	9936	9944	9444	6149	5210	2370	7483	5737	5504
SA101588_00796	101588_2	127275	128636	-	1362	10505	9981	9491	3564	2857	3882	4492	3344	3285
SA101588_00797	101588_2	128984	130105	+	1122	27087	27069	25371	14254	10731	9885	15487	11100	10910
SA101588_00798	101588_2	130154	131422	+	1269	29478	31447	29039	22357	17757	14238	24403	17977	17691
SA101588_00799	101588_2	131812	132513	+	702	1952	2366	2159	1320	1268	977	1580	1315	1305
SA101588_00800	101588_2	132513	134177	+	1665	2796	2904	2736	1826	1832	1324	2100	1916	1682
SA101588_00801	101588_2	134677	136164	+	1488	519	511	505	469	483	218	635	582	464
SA101588_00802	101588_2	136456	139086	+	2631	5202	5128	4868	2938	2355	1792	3277	2593	2291
SA101588_00803	101588_2	139102	139974	+	873	1761	1699	1592	1623	1367	1021	1920	1436	1408
SA101588_00804	101588_2	139990	140613	+	624	993	1241	1226	1273	1146	684	1475	1144	1107
SA101588_00805	101588_2	140783	141808	+	1026	40821	39773	36430	29439	26120	16678	32533	27130	24265
SA101588_00806	101588_2	142018	142488	+	471	2145	2423	2399	2960	2521	2266	3241	2683	2501
SA101588_00807	101588_2	142489	143889	+	1401	3512	3351	3441	6164	5203	6018	6418	5272	4952
SA101588_00808	101588_2	143889	144809	+	921	2807	3215	3227	6807	5603	6336	6495	5519	5197
SA101588_00809	101588_2	145222	147159	+	1938	5237	5660	5458	1580	1563	975	1832	1696	1488
SA101588_00810	101588_2	147265	147440	+	176	268	388	330	232	207	36	296	157	151
SA101588_00811	101588_2	147585	149078	+	1494	1269	1185	1122	1356	1129	1016	1462	1097	1154
SA101588_00812	101588_2	149153	149278	+	126	298	342	248	1966	2108	1367	2163	2138	1630
SA101588_00813	101588_2	149274	149834	+	561	4312	5543	4877	33548	34375	23155	36483	33961	27373
SA101588_00814	101588_2	149863	150063	+	201	2516	4778	4233	30740	30121	18260	31702	26433	26177
SA101588_00815	101588_2	150110	150466	+	357	2281	3514	2908	17390	18777	9974	19731	17803	15045
SA101588_00816	101588_2	150608	151216	+	609	1521	1674	1596	1391	1365	1059	1408	1318	1136
SA101588_00817	101588_2	151235	152164	+	930	1680	1855	1790	1863	1810	1249	1992	1726	1527
SA101588_00818	101588_2	152327	153628	+	1302	15610	19481	18051	15647	14049	7716	17871	14442	13500
SA101588_00819	101588_2	153779	155041	+	1263	5521	6333	5574	5138	5000	1907	6284	5039	4516
SA101588_00820	101588_2	155195	155785	+	591	496	542	495	599	552	251	726	538	558
SA101588_00821	101588_2	156002	157348	+	1347	8428	11756	10830	12801	12988	6452	15406	12601	10743
SA101588_00822	101588_2	157370	158185	+	816	921	997	883	1207	1207	590	1379	1333	999
SA101588_00823	101588_2	158227	159153	+	927	1335	1882	1674	2209	2287	1082	2427	2286	1850
SA101588_00824	101588_2	159175	159843	+	669	412	461	474	279	264	194	311	275	227
SA101588_00825	101588_2	159846	160820	+	975	966	1129	1049	798	794	506	810	759	654
SA101588_00826	101588_2	160868	162154	+	1287	1473	1877	1813	1697	1495	970	1889	1484	1454
SA101588_00827	101588_2	162356	163423	+	1068	1368	1490	1441	886	833	589	1107	897	901
SA101588_00828	101588_2	163646	164206	-	561	1137	1296	1324	754	619	204	757	573	638
SA101588_00829	101588_2	164264	164565	+	302	829	1022	996	1569	1284	395	1582	1256	1272
SA101588_00830	101588_2	164609	167239	+	2631	4522	5290	4764	4283	3809	3454	4592	4021	3598
SA101588_00831	101588_2	167252	168523	+	1272	1994	2449	2088	2400	2419	1666	2909	2667	2274
SA101588_00832	101588_2	168785	169492	+	708	114	123	122	88	72	75	102	91	84
SA101588_00833	101588_2	169489	170175	+	687	49	56	84	60	39	41	66	46	56
SA101588_00834	101588_2	170243	170527	+	285	544	451	372	292	258	132	355	283	268
SA101588_00835	101588_2	170644	170841	-	198	217	321	263	214	192	88	330	221	182
SA101588_00836	101588_2	171001	171474	+	474	548	966	918	272	334	120	860	459	401
SA101588_00837	101588_2	171865	172707	+	843	1629	1851	1695	1911	1878	777	2135	2023	1641
SA101588_00838	101588_2	172707	173237	+	531	845	752	674	1010	1005	334	1147	1026	805
SA101588_00839	101588_2	173724	174032	+	309	6317	8614	6948	35520	38970	11822	39320	35296	28819
SA101588_00840	101588_2	174038	174358	+	321	4409	5375	3873	20323	23266	7531	23683	22704	17007
SA101588_00841	101588_2	174370	174654	+	285	3034	4475	3444	14162	16390	5236	16751	15210	11557
SA101588_00842	101588_2	175141	176433	+	1293	3520	4003	3761	13240	14197	12209	13588	13013	10914
SA101588_00843	101588_2	176443	176901	+	459	907	939	781	2456	2744	1864	2736	2648	2009
SA101588_00844	101588_2	176915	177517	+	603	1239	1423	1293	4839	5207	3328	5113	4640	3867
SA101588_00845	101588_2	177549	178553	+	1005	1810	2367	2202	7721	7822	5824	7924	7546	6156
SA101588_00846	101588_2	178555	179580	+	1026	1370	1453	1206	4462	4511	3454	4839	4745	3639
SA101588_00847	101588_2	179603	180742	+	1140	4312	5562	4797	7420	7643	4425	8398	7483	6651
SA101588_00848	101588_2	180761	181021	+	261	930	1138	866	661	640	212	832	642	589
SA101588_00849	101588_2	181296	183575	+	2280	6371	6458	6072	6128	5866	4307	6988	5865	5363
SA101588_00850	101588_2	183778	186051	+	2274	1679	2148	1851	1691	1714	1345	1770	1683	1465
SA101588_00851	101588_2	186073	186591	+	519	669	879	724	715	672	416	779	692	592
SA101588_00852	101588_2	186998	189208	+	2211	6043	6431	6137	3735	3157	2743	4385	3673	3614
SA101588_00853	101588_2	189220	189672	+	453	1693	1904	1754	1101	1061	777	1454	1262	1170
SA101588_00854	101588_2	189669	190544	+	876	2074	2603	2503	1147	1026	675	1404	1105	1107
SA101588_00855	101588_2	191005	192267	+	1263	2117	2234	2048	512	498	353	600	536	402
SA101588_00856	101588_2	192283	194049	+	1767	4463	4917	4538	2180	1887	1195	2438	2071	1818
SA101588_00857	101588_2	194127	194317	+	191	12079	31762	28205	12112	10420	680	19834	5794	8462
SA101588_00858	101588_2	194510	195283	+	774	969	1035	1108	1009	896	503	1094	871	864
SA101588_00859	101588_2	195444	196718	-	1275	2208	2656	2436	1865	1737	2551	2264	1808	1697
SA101588_00860	101588_2	196803	197225	+	423	1674	2119	2068	1126	865	283	1129	805	925
SA101588_00861	101588_2	197325	197507	+	183	13439	15970	15998	24942	19653	8514	25448	19902	22281
SA101588_00862	101588_2	197547	197693	+	147	2702	4379	4544	7425	5591	2123	7655	5196	6900
SA101588_00863	101588_2	197930	198943	-	1014	569	677	483	434	472	478	436	457	351
SA101588_00864	101588_2	199254	200396	+	1143	1343	1673	1552	1868	1769	1533	2051	1764	1745
SA101588_00865	101588_2	200397	201515	+	1119	1050	1443	1340	1681	1601	1486	1882	1609	1466
SA101588_00866	101588_2	201775	201990	-	216	113	194	158	182	201	171	215	134	206
SA101588_00867	101588_2	202203	202871	+	669	479	559	603	302	283	206	387	276	282
SA101588_00868	101588_2	202873	205350	+	2478	1968	2511	2271	984	964	602	1166	1030	959
SA101588_00869	101588_2	205690	208323	+	2634	3997	4238	3902	2679	2421	1554	2899	2598	2170
SA101588_00870	101588_2	208386	208646	+	261	2177	2524	2583	3069	2296	1086	3100	2313	2313
SA101588_00871	101588_2	208650	209078	+	429	3208	3928	3749	5287	4100	1886	5163	4114	3854
SA101588_00872	101588_2	209093	209401	+	309	1570	2339	2468	3036	2398	980	3068	2182	2463
SA101588_00873	101588_2	209686	210324	+	639	464	534	489	801	794	443	863	810	655
SA101588_00874	101588_2	210327	211250	+	924	1009	1326	1226	1881	1840	1439	2013	1899	1688
SA101588_00875	101588_2	211262	212530	+	1269	1611	1922	1749	2824	2803	2290	3184	2862	2582
SA101588_00876	101588_2	212530	213153	+	624	1890	2357	2169	2527	2481	1632	2891	2606	2362
SA101588_00877	101588_2	213181	213657	+	477	1955	2528	2187	2147	2133	941	2528	2124	1963
SA101588_00878	101588_2	213982	214716	+	735	504	659	559	335	287	209	448	373	317
SA101588_00879	101588_2	214706	215716	+	1011	380	385	390	285	233	232	374	283	241
SA101588_00880	101588_2	215718	216167	+	450	106	160	148	145	96	98	166	90	123
SA101588_00881	101588_2	216181	217542	+	1362	503	524	415	496	435	479	603	431	408
SA101588_00882	101588_2	217542	218294	+	753	236	254	257	252	238	313	285	235	230
SA101588_00883	101588_2	218306	219538	+	1233	436	406	340	418	404	400	485	363	330
SA101588_00884	101588_2	219826	221046	+	1221	407	426	482	323	261	166	412	281	278
SA101588_00885	101588_2	221374	222213	+	840	43	53	43	170	171	66	163	154	123
SA101588_00886	101588_2	222416	222685	-	270	176	160	149	102	77	19	111	77	57
SA101588_00887	101588_2	222999	223685	+	687	1102	1180	970	1077	1048	1077	1244	1054	901
SA101588_00888	101588_2	223705	224232	+	528	740	755	733	935	892	891	1156	874	814
SA101588_00889	101588_2	224233	225333	+	1101	1471	1730	1547	1902	1875	1661	2157	1932	1661
SA101588_00890	101588_2	225347	226153	+	807	1003	1160	1142	1290	1259	942	1452	1184	1133
SA101588_00891	101588_2	226157	226447	+	291	412	429	343	416	357	281	475	417	327
SA101588_00892	101588_2	226450	227019	+	570	842	1169	996	1331	1173	982	1409	1225	1130
